query,judge,n_results,hit@1,hit@3,hit@5,rr,top1_sim,top1_category,search_time,pre_rerank_rank,post_rerank_rank,hit_keywords
오메가3의 심혈관 건강 효능은?,True,5,1,1,1,1.0,0.6284,다이어트_AI생성,0.193,1,1,epa
프로바이오틱스가 장 건강에 미치는 영향,True,5,0,0,0,0.0,0.641,건강_수집데이터,1.189,,,없음
커큐민의 항염 효과 임상 연구,True,5,0,0,0,0.0,0.596,건강식품_논문,0.204,,,없음
간헐적 단식 16:8 방법과 체중 감량 효과,True,5,1,1,1,1.0,0.5994,건강기사,1.19,1,1,"intermittent fasting, fasting"
케토제닉 다이어트 혈당 관리 연구,True,5,0,1,1,0.5,0.633,건강식품,0.293,4,2,없음
저탄수화물 식단 메타분석 결과,True,5,0,0,1,0.2,0.6261,건강식품,0.408,3,5,없음
단백질 섭취량과 근육 유지 관계,True,5,1,1,1,1.0,0.6394,다이어트_AI생성,0.547,2,1,protein
식이섬유와 장내 미생물 관계,True,5,0,0,0,0.0,0.6289,다이어트_AI생성,0.973,,,없음
혈당 스파이크 원인과 예방법,True,5,1,1,1,1.0,0.6142,네이버블로그,0.41,1,1,"blood glucose, blood sugar, insulin, glucose"
GI 지수와 혈당 관리 방법,True,5,1,1,1,1.0,0.6288,건강식품,0.701,1,1,glucose
푸드올로지 버닝올로지 성분,True,5,1,1,1,1.0,0.6378,푸드올로지,0.51,1,1,"버닝올로지, 버닝, burning"
콜레올로지 제품 효능,True,5,1,1,1,1.0,0.6237,푸드올로지,0.314,1,1,콜레올로지
맨올로지 추천 대상,True,5,1,1,1,1.0,0.6162,푸드올로지,0.157,1,1,맨올로지
닭가슴살 다이어트 식단 추천,True,5,0,0,0,0.0,0.6445,네이버블로그,0.306,,,없음
다이어트 보조제 종류와 효과,True,5,1,1,1,1.0,0.6352,다이어트_AI생성,0.305,1,1,weight loss
단백질 보충제 먹는 방법,True,5,1,1,1,1.0,0.6294,기타,0.195,2,1,protein
비타민C 결핍 증상,True,5,0,0,0,0.0,0.6252,다이어트_AI생성,0.213,,,없음
날씨가 맑은 날 운동하면 좋은가요,False,5,0,0,0,0.0,0.6044,네이버블로그,0.212,,,없음
